name,calories,protein,carbs,fat,sugar,benefits,cons,advice
corned beef raw,898,66.6,0.6,67.6,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
beef mince meat asda,55,0.0,6.8,3.1,0.054,Contains nutrition,Depends on quantity,Maintain balanced diet
pastrami beef fat free,9,1.9,0.1,0.1,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
rib eye steak raw,743,62.8,0.4,54.5,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
beef tenderloin steak cooked,374,37.0,0.0,24.0,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
chuck blade roast cooked,842,66.1,0.0,62.0,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
cured beef dried,4,0.9,0.06,0.019,0.006,Contains nutrition,Depends on quantity,Maintain balanced diet
beef flank steak cooked,380,51.8,0.0,17.5,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
chuck eye steak grilled,853,76.9,0.0,60.5,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
veal meat raw,653,87.8,0.0,30.7,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
veal loin cooked,80,8.5,0.0,4.9,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
veal loin raw,46,5.3,0.0,2.6,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
veal shoulder cooked,435,61.2,0.0,19.4,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
beef tenderloin steak raw,405,32.2,0.0,29.8,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
veal shank cooked,371,61.2,0.0,12.0,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
beef brisket raw,1139,83.6,0.0,86.5,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
pastrami beef,104,15.5,0.3,4.1,0.08,Contains nutrition,Depends on quantity,Maintain balanced diet
beef flank steak raw,47,6.0,0.0,2.3,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
beef top sirloin steak cooked,430,47.7,0.0,25.2,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
veal breast raw,943,79.2,0.0,66.9,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
beef rib raw,1433,73.8,0.0,123.8,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
beef jerky,82,6.6,2.2,5.1,1.8,Contains nutrition,Depends on quantity,Maintain balanced diet
beef breakfast strips cooked,51,3.5,0.2,3.9,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
pork olive loaf,66,3.3,2.6,4.6,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
beef luncheon meat jellied,31,5.3,0.0,0.9,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
turkey pastrami,38,4.6,0.5,1.8,1.0,Contains nutrition,Depends on quantity,Maintain balanced diet
pork salami,41,2.3,0.2,3.4,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
canadian style bacon raw,45,5.9,0.5,2.0,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
honey loaf,85,9.9,2.6,3.6,2.6,Contains nutrition,Depends on quantity,Maintain balanced diet
pork beef salami,37,2.1,0.076,3.1,0.008,Contains nutrition,Depends on quantity,Maintain balanced diet
beef pork bologna,92,4.6,1.6,7.4,1.3,Contains nutrition,Depends on quantity,Maintain balanced diet
pork beef salami cooked,41,2.7,0.3,3.2,0.1,Contains nutrition,Depends on quantity,Maintain balanced diet
pork breakfast strips raw,88,2.7,0.2,8.4,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
pickle pimiento loaf,86,4.3,3.2,6.1,3.2,Contains nutrition,Depends on quantity,Maintain balanced diet
luxury loaf,39,5.2,1.4,1.3,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
mortadella,47,2.5,0.5,3.8,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
pork bologna,69,4.3,0.2,5.6,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
turkey salami cooked,9,1.0,0.081,0.5,0.063,Contains nutrition,Depends on quantity,Maintain balanced diet
pepperoni beef,10,0.5,0.0,0.9,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
peppered loaf,42,4.9,1.3,1.8,1.3,Contains nutrition,Depends on quantity,Maintain balanced diet
luncheon meat beef,10,1.8,0.0,0.3,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
lebanon bologna,98,10.8,0.3,6.0,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
chicken pork bologna,94,2.9,1.2,8.6,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
turkey roll,40,4.9,0.6,1.9,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
beef salami cooked,68,3.3,0.5,5.8,0.4,Contains nutrition,Depends on quantity,Maintain balanced diet
yachtwurst cooked,150,8.3,0.8,12.7,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
italian salami,43,2.2,0.1,3.7,0.1,Contains nutrition,Depends on quantity,Maintain balanced diet
turkey ham,38,5.5,0.3,1.6,0.1,Contains nutrition,Depends on quantity,Maintain balanced diet
turkey bologna,59,3.2,1.3,4.5,0.8,Contains nutrition,Depends on quantity,Maintain balanced diet
sliced turkey breast,17,2.4,0.4,0.6,0.1,Contains nutrition,Depends on quantity,Maintain balanced diet
luncheon meat pork beef,99,3.5,0.7,9.0,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
beef bologna,90,3.3,1.3,7.8,0.6,Contains nutrition,Depends on quantity,Maintain balanced diet
turkey bacon cooked,313,24.3,2.5,22.9,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
ground emu cooked,178,31.0,0.0,5.1,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
ostrich leg raw,94,19.0,0.0,1.5,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
ostrich strip raw,108,20.1,0.0,2.4,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
emu fillet cooked,607,123.2,0.0,9.1,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
ostrich tenderloin raw,105,18.8,0.0,2.7,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
emu drums cooked,649,134.7,0.0,8.4,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
green turtle raw,25,5.6,0.0,0.1,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
ground bison cooked,448,63.6,0.0,21.6,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
goat meat raw,494,93.4,0.0,10.5,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
ground emu raw,157,26.6,0.0,4.7,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
ground ostrich raw,180,22.0,0.0,9.5,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
ostrich tip cooked,123,24.2,0.0,2.2,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
caribou cooked,210,38.0,0.0,6.4,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
ground ostrich cooked,163,24.3,0.0,6.6,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
ostrich leg cooked,120,24.7,0.0,1.6,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
ostrich top loin cooked,132,23.9,0.0,3.3,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
ostrich strip cooked,139,25.0,0.0,3.6,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
ostrich tip raw,97,18.6,0.0,2.0,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
ostrich round raw,99,18.7,0.0,2.0,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
ground bison raw,124,17.2,0.099,6.1,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
ostrich fan raw,99,18.5,0.0,2.3,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
ostrich top loin raw,101,18.4,0.0,2.5,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
veal brain cooked,461,38.9,0.0,32.6,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
veal tongue cooked,515,65.9,0.0,25.8,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
beef heart cooked,47,8.1,0.057,1.3,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
turkey liver cooked,100,14.3,0.0,4.3,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
veal thymus cooked,35,6.4,0.0,0.9,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
beef brain cooked,688,44.1,0.0,55.6,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
beef pancreas cooked,602,60.2,0.0,38.2,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
beef tripe cooked,80,10.0,1.7,3.4,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
chicken gizzard cooked,223,44.1,0.0,3.9,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
pork pancreas cooked,537,69.8,0.0,26.5,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
beef tongue cooked,80,5.5,0.0,6.3,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
lamb heart cooked,353,47.7,3.7,15.1,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
beef spleen cooked,447,77.3,0.0,12.9,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
veal kidneys cooked,300,48.4,0.0,10.4,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
chicken heart cooked,268,38.3,0.1,11.5,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
lamb tongue cooked,701,55.0,0.0,51.7,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
veal heart cooked,368,57.7,0.3,13.4,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
chicken liver cooked,76,11.3,0.5,2.8,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
lamb pancreas cooked,541,52.7,0.0,34.9,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
veal spleen cooked,445,83.1,0.0,10.0,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
lamb liver cooked,739,102.7,8.5,29.6,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
turkey gizzard cooked,70,11.9,0.0,2.1,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
lamp spleen cooked,460,78.1,0.0,14.1,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
turkey heart cooked,35,5.0,0.0,1.5,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
beef liver cooked,130,19.8,3.5,3.6,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
lamb lungs cooked,431,75.7,0.0,11.8,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
pork brain cooked,527,46.4,0.0,36.3,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
goose liver,125,15.4,5.9,4.0,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
pork kidneys cooked,211,35.6,0.0,6.6,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
lamb brain cooked,503,43.5,0.0,35.3,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
pork heart cooked,215,34.2,0.6,7.3,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
lamb kidneys cooked,349,60.3,2.5,9.2,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
beef lungs cooked,364,61.8,0.0,11.2,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
veal pancreas cooked,614,69.8,0.0,35.0,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
pork liver cooked,584,92.1,13.3,15.6,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
beef kidneys cooked,45,7.7,0.0,1.3,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
turkey giblets cooked,164,25.1,0.0,6.3,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
duck liver raw,60,8.2,1.6,2.0,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
veal liver cooked,154,22.7,3.0,5.0,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
pork lungs cooked,297,49.8,0.0,9.3,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
veal lungs cooked,312,56.2,0.0,7.9,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
beef thymus cooked,1215,83.2,0.0,95.2,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
ham,46,4.6,1.0,2.5,0.3,Contains nutrition,Depends on quantity,Maintain balanced diet
pork meat cooked,283,14.1,0.0,14.1,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
bacon roasted,43,3.0,0.1,3.3,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
pork top loin roasts raw,3644,468.4,0.0,182.8,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
pork blade roll raw,76,4.7,0.0,6.2,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
pork backribs raw,2399,204.2,0.0,174.9,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
pork spareribs cooked,703,51.4,0.0,53.6,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
pork stomach cooked,44,6.1,0.029,2.1,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
honey smoked ham cooked,67,9.9,4.0,1.3,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
boston butt steak raw,844,79.0,0.0,56.1,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
pork sirloin chops cooked,140,23.3,0.0,4.5,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
pork country style ribs raw,242,24.8,0.0,15.1,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
ham patties,205,8.3,1.1,18.3,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
pork feet cooked,67,6.2,0.0,4.5,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
ground pork cooked,930,80.4,0.0,65.0,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
pork centre loin chops cooked,328,40.2,0.0,17.4,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
pork leg cap steak cooked,307,53.5,0.0,8.6,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
pork blade chops raw,376,55.8,0.0,15.4,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
pork tenderloin raw,606,104.3,0.0,17.8,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
pork sirloin chops raw,1090,205.5,0.0,23.3,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
pork leg cap steak raw,284,50.0,0.0,7.8,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
pork carcass raw,1706,63.1,0.0,159.1,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
pork splean cooked,446,84.3,0.0,9.6,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
chopped ham,50,4.6,1.2,2.9,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
pork centre loin chops raw,338,41.2,0.0,18.0,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
pork blade chops cooked,265,32.4,1.1,14.6,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
boston butt steak cooked,494,46.4,0.0,32.7,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
pork meat raw,179,2.6,0.0,18.6,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
pork top loin chops raw,287,39.9,0.0,12.8,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
pork blade steak braised,694,68.2,0.087,44.7,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
pork boston steaks cooked,438,43.2,0.0,28.1,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
bacon cooked,43,3.5,0.068,3.1,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
pickled pork hocks,48,5.4,0.0,3.0,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
pork boston roast cooked,705,60.5,0.0,49.4,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
canadian style bacon grilled,43,5.7,0.3,2.0,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
ham steak,70,11.1,0.0,2.4,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
pork backfat,3683,13.2,0.0,402.3,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
bacon baked,44,2.9,0.1,3.5,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
pork arm picnic raw,5298,513.6,0.0,343.4,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
salt pork raw,212,1.4,0.0,22.8,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
pork arm picnic cooked,5292,560.3,0.0,322.7,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
pork top loin chops cooked,270,39.4,0.0,11.2,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
ground pork raw,329,21.1,0.0,26.5,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
pork shoulder raw,1070,77.9,0.0,81.6,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
pork chitterlings cooked,66,3.5,0.0,5.8,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
pork breakfast strips cooked,52,3.3,0.1,4.1,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
pork blade roll roasted,1079,65.0,1.4,88.3,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
pork tail cooked,1089,46.8,0.0,98.5,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
pork centre rib roasts raw,275,44.0,0.0,9.7,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
pork centre rib roasts roasted,1942,211.3,0.0,114.9,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
minced ham,55,3.4,0.4,4.3,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
ham roasted,316,28.7,0.6,21.3,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
pork loin raw,232,23.1,0.0,14.7,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
pork backribs roasted,2564,202.0,0.0,188.9,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
pork belly raw,2350,42.4,0.0,240.5,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
ham raw,266,23.8,0.046,18.2,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
ham extra lean,45,5.1,0.6,2.3,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
pork feet pickled,635,52.8,0.029,45.5,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
pork shoulder cooked,394,31.4,0.0,28.9,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
pork top loin roasts roasted,1628,224.3,0.0,74.8,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
pork skin,154,17.3,0.0,8.9,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
pork country style ribs cooked,235,22.8,0.0,15.2,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
pork blade steak raw,664,67.6,0.6,43.7,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
pork tenderloin cooked,153,22.7,0.0,6.2,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
pork loin cooked,213,24.2,0.0,12.1,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
pork ears cooked,184,17.7,0.2,12.0,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
pork tongue cooked,626,55.7,0.0,43.0,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
pork spareribs raw,3593,200.6,0.0,303.5,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
ham patties grilled,205,8.0,1.0,18.5,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
chicken skin roasted,508,22.8,0.0,45.6,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
turkey breast raw,3554,495.6,0.0,158.9,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
ground turkey raw,169,22.4,0.0,8.7,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
chicken wing cooked,52,4.8,0.0,3.5,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
turkey roast roasted,209,28.8,4.1,7.8,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
pheasant meat raw,1448,181.6,0.0,74.3,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
chicken back raw,188,8.3,0.0,17.0,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
chicken back cooked,93,8.0,0.0,6.5,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
chicken leg fried,431,34.4,13.8,25.5,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
chicken feet cooked,975,88.0,0.9,66.2,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
turkey steak fried,179,9.1,10.9,10.8,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
turkey taco meat cooked,271,30.7,5.5,13.9,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
chicken leg raw,736,56.3,0.6,54.9,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
chicken meat raw,1978,171.1,0.0,138.6,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
chicken neck cooked,94,7.5,0.0,6.9,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
chicken drumstick fried,193,15.8,6.0,11.3,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
quail egg,14,1.2,0.08,1.0,0.048,Contains nutrition,Depends on quantity,Maintain balanced diet
duck meat cooked,472,26.6,0.0,39.7,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
chicken wing roasted,216,20.2,0.0,14.3,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
quail meat cooked,1028,113.7,0.0,63.9,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
goose meat cooked,427,35.2,0.0,30.7,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
chicken breast cooked,114,17.3,0.0,4.5,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
chicken neck raw,149,7.0,0.0,13.1,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
duck egg,130,9.0,1.0,9.6,0.7,Contains nutrition,Depends on quantity,Maintain balanced diet
pheasant breast raw,484,88.7,0.0,11.8,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
duck meat raw,5123,145.7,0.0,498.8,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
squab meat raw,585,36.8,0.0,47.4,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
chicken drumstick raw,211,23.4,0.1,12.4,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
turkey meat roasted,284,42.8,0.031,11.1,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
chicken breast raw,299,36.3,0.0,16.1,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
ground chicken cooked,474,58.4,0.0,27.4,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
turkey wing cooked,426,50.9,0.0,23.1,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
goose meat raw,6077,259.8,0.0,550.7,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
turkey breast roasted,3266,496.1,0.0,128.0,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
chicken fajita strips,13,1.7,0.2,0.5,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
crispy chicken strips tyson,145,0.0,0.0,6.0,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
chocolate pudding fat free,105,2.2,23.6,0.3,17.8,Contains nutrition,Depends on quantity,Maintain balanced diet
tapioca pudding,143,2.1,23.9,4.3,16.4,Contains nutrition,Depends on quantity,Maintain balanced diet
tapioca pudding fat free,105,1.6,23.9,0.4,15.9,Contains nutrition,Depends on quantity,Maintain balanced diet
rice pudding,122,3.6,20.8,2.4,13.1,Contains nutrition,Depends on quantity,Maintain balanced diet
corn pudding,328,11.1,42.4,12.6,16.5,Contains nutrition,Depends on quantity,Maintain balanced diet
chocolate pudding,213,3.1,34.5,6.9,25.8,Contains nutrition,Depends on quantity,Maintain balanced diet
lemon pudding,173,4.1,30.2,4.4,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
vanilla pudding,195,2.2,33.9,5.7,25.5,Contains nutrition,Depends on quantity,Maintain balanced diet
profeel proteiinirahka valio,140,175.0,19.3,0.4,0.2,Contains nutrition,Depends on quantity,Maintain balanced diet
cottage cheese creamed,20,2.2,0.7,0.9,0.5,Contains nutrition,Depends on quantity,Maintain balanced diet
zaziki milfina,51,0.0,0.0,4.4,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
cottage cheese low fat,163,28.0,6.1,2.3,6.1,Contains nutrition,Depends on quantity,Maintain balanced diet
cottage cheese nonfat,104,15.0,9.7,0.4,2.7,Contains nutrition,Depends on quantity,Maintain balanced diet
vanilla yogurt low fat,208,12.1,33.8,3.1,33.8,Contains nutrition,Depends on quantity,Maintain balanced diet
classique yogurt plain 2 liberte,30,3.3,1.7,1.2,1.7,Contains nutrition,Depends on quantity,Maintain balanced diet
yoplait light strawberry yogurt yoplait,79,0.0,0.074,0.0,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
vanilla yogurt,145,8.4,23.5,2.1,23.5,Contains nutrition,Depends on quantity,Maintain balanced diet
chocolate yogurt,168,5.3,35.3,0.0,22.5,Contains nutrition,Depends on quantity,Maintain balanced diet
yogurt parfait,125,5.0,23.6,1.5,17.4,Contains nutrition,Depends on quantity,Maintain balanced diet
yogurt,92,5.2,7.0,4.9,7.0,Contains nutrition,Depends on quantity,Maintain balanced diet
chocolate frozen yogurt,221,5.2,37.6,6.3,33.5,Contains nutrition,Depends on quantity,Maintain balanced diet
frozen yogurt,221,5.2,37.6,6.3,34.7,Contains nutrition,Depends on quantity,Maintain balanced diet
yogurt low fat,154,12.9,17.2,3.8,17.2,Contains nutrition,Depends on quantity,Maintain balanced diet
vanilla yoghurt oikos,120,0.0,0.0,1.8,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
fruit yogurt,149,6.0,28.0,1.7,28.0,Contains nutrition,Depends on quantity,Maintain balanced diet
danone low fat alsafi,88,0.0,0.089,1.7,255.0,Contains nutrition,Depends on quantity,Maintain balanced diet
fruit n yogurt parfait mcdonalds,156,4.1,30.9,1.9,19.1,Contains nutrition,Depends on quantity,Maintain balanced diet
triple zero greek yogurt dannon oikos,120,0.038,22.5,0.0,6.0,Contains nutrition,Depends on quantity,Maintain balanced diet
greek yogurt,100,17.3,6.1,0.7,5.5,Contains nutrition,Depends on quantity,Maintain balanced diet
chocolate rasberry protein mini proteinfx,102,0.0,0.0,2.9,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
gushers fruit gushers,360,0.0,0.2,6.0,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
egg fried,90,6.3,0.4,6.8,0.2,Contains nutrition,Depends on quantity,Maintain balanced diet
glucerna abbott,1010,0.0,120.9,35.6,49.8,Contains nutrition,Depends on quantity,Maintain balanced diet
sports drink,26,0.0,7.2,0.0,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
peanut butter cookie protein syntha 6,200,0.0,5.0,6.0,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
hanfprotein pulver rohkostqualitat veganz,107,0.0,14.2,3.1,0.057,Contains nutrition,Depends on quantity,Maintain balanced diet
smoothie high protein creamy chocolate slimfast,110,12.0,2.1,3.5,1.0,Contains nutrition,Depends on quantity,Maintain balanced diet
egg large,138,0.0,0.0,9.3,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
boysenberries frozen,66,1.5,16.1,0.3,9.1,Contains nutrition,Depends on quantity,Maintain balanced diet
malt beverage,88,0.5,19.1,0.3,19.1,Contains nutrition,Depends on quantity,Maintain balanced diet
chocolate powder for milk,88,1.0,19.9,0.5,18.0,Contains nutrition,Depends on quantity,Maintain balanced diet
